,Postalcode,Name,Huoneet,Keskivuokra - ARA-vuokra,Keskivuokra - Vapaarah. vanhat,Keskivuokra - Vapaarah. uudet,Kuukausivuokra - ARA-vuokra,Kuukausivuokra - Vapaarah. vanhat,Kuukausivuokra - Vapaarah. uudet,duration-w,duration-t,duration-d,duration-b
132,840,Laajasalo,1h,16.6,20.9,22.1,550.0,605.0,639.0,1 hour 46 mins,47 mins,17 mins,31 mins
133,840,Laajasalo,2h,17.0,16.1,16.3,805.0,759.0,783.0,1 hour 46 mins,47 mins,17 mins,31 mins
134,840,Laajasalo,3h+,13.7,14.6,12.9,1156.0,1147.0,1048.0,1 hour 46 mins,47 mins,17 mins,31 mins
135,630,Maunula-Suursuo,1h,12.6,19.6,22.9,407.0,556.0,607.0,58 mins,32 mins,15 mins,19 mins
136,630,Maunula-Suursuo,2h,11.8,14.4,15.0,600.0,701.0,715.0,58 mins,32 mins,15 mins,19 mins
137,630,Maunula-Suursuo,3h+,11.6,13.0,12.0,882.0,893.0,949.0,58 mins,32 mins,15 mins,19 mins
138,640,Oulunkylä-Patola,1h,16.0,20.5,21.5,473.0,607.0,656.0,55 mins,25 mins,14 mins,17 mins
139,640,Oulunkylä-Patola,2h,11.7,15.1,16.8,569.0,782.0,839.0,55 mins,25 mins,14 mins,17 mins
140,640,Oulunkylä-Patola,3h+,12.3,11.8,12.2,952.0,1027.0,944.0,55 mins,25 mins,14 mins,17 mins
141,650,Veräjämäki,1h,14.2,16.7,,413.0,608.0,,38 mins,26 mins,9 mins,12 mins
142,650,Veräjämäki,2h,16.0,14.5,16.5,791.0,758.0,819.0,38 mins,26 mins,9 mins,12 mins
143,650,Veräjämäki,3h+,13.5,13.4,15.7,1030.0,1115.0,1155.0,38 mins,26 mins,9 mins,12 mins
144,660,Länsi-Pakila,1h,,16.9,21.2,,569.0,609.0,1 hour 20 mins,39 mins,11 mins,27 mins
145,660,Länsi-Pakila,2h,,14.9,15.2,,762.0,784.0,1 hour 20 mins,39 mins,11 mins,27 mins
146,660,Länsi-Pakila,3h+,,11.8,11.8,,982.0,1017.0,1 hour 20 mins,39 mins,11 mins,27 mins
147,850,Jollas,1h,,20.1,32.4,,509.0,517.0,2 hours 17 mins,57 mins,22 mins,38 mins
148,850,Jollas,2h,13.9,16.9,19.0,753.0,907.0,1033.0,2 hours 17 mins,57 mins,22 mins,38 mins
149,850,Jollas,3h+,12.8,15.8,15.9,1092.0,1248.0,1564.0,2 hours 17 mins,57 mins,22 mins,38 mins
150,670,Paloheinä,2h,,10.7,,,581.0,,1 hour 43 mins,52 mins,15 mins,33 mins
151,670,Paloheinä,3h+,12.6,13.2,,1162.0,1147.0,,1 hour 43 mins,52 mins,15 mins,33 mins
152,680,Itä-Pakila,1h,17.0,22.7,20.4,539.0,704.0,575.0,1 hour 7 mins,44 mins,16 mins,20 mins
153,680,Itä-Pakila,2h,,12.4,10.7,,552.0,513.0,1 hour 7 mins,44 mins,16 mins,20 mins
154,680,Itä-Pakila,3h+,11.9,9.3,,1074.0,858.0,,1 hour 7 mins,44 mins,16 mins,20 mins
155,690,Tuomarinkylä-Torppar,1h,,,,,,,1 hour 52 mins,50 mins,17 mins,33 mins
156,690,Tuomarinkylä-Torppar,2h,13.1,19.4,,742.0,1098.0,,1 hour 52 mins,50 mins,17 mins,33 mins
157,690,Tuomarinkylä-Torppar,3h+,12.5,12.5,,991.0,1175.0,,1 hour 52 mins,50 mins,17 mins,33 mins
158,700,Malmi,1h,14.6,21.0,24.1,484.0,631.0,640.0,1 hour 27 mins,36 mins,13 mins,23 mins
159,700,Malmi,2h,13.9,15.7,17.2,693.0,793.0,869.0,1 hour 27 mins,36 mins,13 mins,23 mins
160,700,Malmi,3h+,12.0,14.4,15.2,946.0,1127.0,1175.0,1 hour 27 mins,36 mins,13 mins,23 mins
161,710,Pihlajamäki,1h,16.8,18.5,20.5,577.0,592.0,638.0,55 mins,21 mins,8 mins,16 mins
162,710,Pihlajamäki,2h,13.3,14.4,15.2,716.0,756.0,811.0,55 mins,21 mins,8 mins,16 mins
163,710,Pihlajamäki,3h+,12.2,12.8,13.3,961.0,979.0,1042.0,55 mins,21 mins,8 mins,16 mins
164,720,Pukinmäki-Savela,1h,15.8,21.2,20.7,471.0,656.0,656.0,1 hour 12 mins,33 mins,14 mins,21 mins
165,720,Pukinmäki-Savela,2h,14.1,14.2,15.3,767.0,725.0,778.0,1 hour 12 mins,33 mins,14 mins,21 mins
166,720,Pukinmäki-Savela,3h+,12.1,13.7,13.3,928.0,1052.0,979.0,1 hour 12 mins,33 mins,14 mins,21 mins
167,730,Tapanila,1h,13.5,20.4,22.5,481.0,606.0,677.0,1 hour 47 mins,30 mins,18 mins,29 mins
168,730,Tapanila,2h,12.4,14.8,16.1,655.0,729.0,766.0,1 hour 47 mins,30 mins,18 mins,29 mins
169,730,Tapanila,3h+,12.0,13.3,13.2,963.0,1113.0,1067.0,1 hour 47 mins,30 mins,18 mins,29 mins
170,740,Siltamäki,1h,18.0,17.9,22.2,284.0,571.0,726.0,1 hour 55 mins,34 mins,16 mins,34 mins
171,740,Siltamäki,2h,12.7,14.4,14.3,667.0,754.0,770.0,1 hour 55 mins,34 mins,16 mins,34 mins
172,740,Siltamäki,3h+,12.2,12.5,13.9,973.0,1027.0,1176.0,1 hour 55 mins,34 mins,16 mins,34 mins
173,750,Puistola,1h,13.9,16.1,19.3,487.0,547.0,620.0,2 hours 16 mins,37 mins,14 mins,38 mins
174,750,Puistola,2h,13.9,14.7,14.3,735.0,771.0,735.0,2 hours 16 mins,37 mins,14 mins,38 mins
175,750,Puistola,3h+,13.4,13.9,13.5,1047.0,1120.0,946.0,2 hours 16 mins,37 mins,14 mins,38 mins
176,760,Suurmetsä,1h,13.5,16.9,20.5,455.0,579.0,556.0,2 hours 11 mins,29 mins,15 mins,37 mins
177,760,Suurmetsä,2h,13.8,12.3,12.3,701.0,695.0,633.0,2 hours 11 mins,29 mins,15 mins,37 mins
178,760,Suurmetsä,3h+,13.7,13.4,13.6,1192.0,1219.0,1247.0,2 hours 11 mins,29 mins,15 mins,37 mins
